week,diet,egg,shel,yol,alb,indl,inda,indb,chol_tot
Week 3,0.15%B.o_0.45%C.l,10.9,1.31,3.89,5.7,82.69,1.13,56.98,22.48
Week 3,0.15%B.o_0.45%C.l,10.9,1.8,3.75,5.35,82.29,0.69,56.99,33.99
Week 3,0.15%B.o_0.45%C.l,10.84,1.35,3.34,6.15,81.92,0.75,58.25,20.8
Week 3,0.30%B.o_0.30%C.l,11.07,1.55,3.23,6.29,80.82,3.08,68.49,6.374
Week 3,0.30%B.o_0.30%C.l,11.83,1.93,4.04,5.86,80.76,3.32,70.23,3.727
Week 3,0.30%B.o_0.30%C.l,10.94,1.9,2.86,6.18,80.42,2.84,70.96,3.393
Week 3,WC,10,1.13,3.41,5.46,83.91,-0.98,45.13,27.83
Week 3,WC,10.39,1.02,3.89,5.48,84.56,-0.28,45.77,32.98
Week 3,WC,9.29,0.98,3.2,5.11,84.21,-0.47,45.39,19.82
Week 3,0.45%B.o_0.15%C.l,11.17,1.3,3.61,6.26,79.75,2.17,75.6,28.48
Week 3,0.45%B.o_0.15%C.l,11.3,1.51,3.94,5.85,80.57,0.62,71.44,29.02
Week 3,0.45%B.o_0.15%C.l,10.92,1.23,3.57,6.12,79.62,3.45,73.42,45.49
Week 3,0.6%C.l,10.49,1.33,3.57,5.59,84.34,-0.49,47.9,32.6
Week 3,0.6%C.l,10.33,1.41,3.3,5.62,84.42,-0.96,47.63,28.04
Week 3,0.6%C.l,10.36,1.3,3.45,5.61,84.41,-0.22,48.49,30.43
Week 3,0.6%B.o,11.24,1.38,3.58,6.28,79.8,4.06,76.35,30.03
Week 3,0.6%B.o,11.18,1.14,3.93,6.11,80,4.51,76.43,26.31
Week 3,0.6%B.o,11.17,1.35,3.29,6.53,80.2,4.7,77.21,38.36
Week 3,YC,10.37,1.36,3.11,5.9,80.99,-0.59,81.79,33.82
Week 3,YC,10.29,1.35,3.05,5.89,80.46,0.56,82.34,53.13
Week 3,YC,10.6,1.28,3.42,5.9,81.03,1.83,83.93,84.14
Week 4,0.15%B.o_0.45%C.l,11.758,1.183,3.883,6.692,82.83,0.46,66.71,27.56
Week 4,0.15%B.o_0.45%C.l,11.193,1.928,3.923,5.342,82.92,0.11,65.06,27.53
Week 4,0.15%B.o_0.45%C.l,11.809,1.176,3.998,6.635,83.07,0.92,67.19,21.46
Week 4,0.30%B.o_0.30%C.l,10.174,1.483,2.755,5.936,81.77,1.43,66.05,62.28
Week 4,0.30%B.o_0.30%C.l,10.777,1.621,3.463,5.693,81.45,1.73,69.13,52.16
Week 4,0.30%B.o_0.30%C.l,10.4755,1.552,3.109,5.8145,81.75,1.05,67.6,63.78
Week 4,0.6%B.o,11.043,1.578,3.393,6.072,80.18,4.37,85.4,15.42
Week 4,0.6%B.o,10.198,1.098,3.246,5.854,80.23,5,88.38,16.79
Week 4,0.6%B.o,10.6205,1.338,3.3195,5.963,79.57,5.13,87.83,9.896
Week 4,0.6%C.l,10.187,1.356,3.29,5.541,84.26,-0.14,48.84,21.44
Week 4,0.6%C.l,10.296,1.281,3.508,5.507,84.25,0.28,50.79,21.18
Week 4,0.6%C.l,10.59,1.214,3.312,6.064,84.22,0.34,51.75,14.99
Week 4,WC,9.841,1.234,3.254,5.353,84.46,-0.8,43.33,37.49
Week 4,WC,10.45,1.409,3.65,5.391,84.44,-0.46,46.49,29.18
Week 4,WC,9.984,1.22,3.287,5.477,84.27,-0.6,44.6,30.57
Week 4,0.45%B.o_0.15%C.l,9.58,1.226,3.358,4.996,80.91,2.8,73.91,18.12
Week 4,0.45%B.o_0.15%C.l,9.637,1.215,3.339,5.083,80.48,3.55,77.82,18.12
Week 4,0.45%B.o_0.15%C.l,9.555,1.232,3.339,4.984,80.28,3.45,78,17.27
Week 4,YC,10.775,1.441,3.972,5.362,80.48,2.53,94.05,33.1
Week 4,YC,10.78,1.314,3.302,6.164,80.18,1.76,91.89,32.43
Week 4,YC,10.559,1.353,3.591,5.615,80,1.68,93.38,31.93
Week 5,0.15%B.o_0.45%C.l,10.54,1.11,3.4,6.03,82.4,0.71,66.64,20.92
Week 5,0.15%B.o_0.45%C.l,10.75,1.59,3.5,5.66,82.59,0.67,66.11,20.9
Week 5,0.15%B.o_0.45%C.l,11.2,1.29,4.14,5.77,82.65,0.65,65.29,18.55
Week 5,0.30%B.o_0.30%C.l,10.22,1.41,3.1,5.71,82.54,0.77,69.24,8.341
Week 5,0.30%B.o_0.30%C.l,9.8,1.16,3.3,5.34,81.98,-0.01,66.3,6.424
Week 5,0.30%B.o_0.30%C.l,10.3,1.27,3.53,5.5,82.18,0.45,69.75,6.072
Week 5,0.6%B.o,11.58,1.58,3.55,6.45,82.76,1.2,69.17,21.78
Week 5,0.6%B.o,10.59,1.17,3.68,5.74,82.46,0.24,67.55,22.495
Week 5,0.6%B.o,11.89,1.95,3.9,6.04,82.21,0.76,69.76,23.21
Week 5,0.6%C.l,10.62,1.33,3.5,5.79,83.85,-1.71,49.69,19.13
Week 5,0.6%C.l,10.41,1.35,3.61,5.45,84.14,-1.77,46.19,20.13
Week 5,0.6%C.l,10.68,1.13,3.25,6.3,84.37,-1.45,48.57,19.63
Week 5,WC,9.44,1.13,3.19,5.12,84.23,-0.47,51.36,25.94
Week 5,WC,9.841,1.234,3.254,5.353,84.09,-0.88,49.75,28.14
Week 5,WC,9.984,1.22,3.287,5.477,84.05,-0.42,54.37,27.04
Week 5,0.45%B.o_0.15%C.l,11.81,1.47,4.54,5.8,82.52,0.2,65.79,22.4
Week 5,0.45%B.o_0.15%C.l,11.3,1.19,3.94,6.17,82.48,0.68,67.34,22.37
Week 5,0.45%B.o_0.15%C.l,11.51,1.41,4.37,5.73,82.46,0.85,67.5,26.4
Week 5,YC,9.85,1.8,3.47,4.58,80.29,1.86,97.46,15.92
Week 5,YC,10.53,1.16,2.96,6.41,79.78,1.76,96.44,16.05
Week 5,YC,10.98,1.24,3.8,5.94,80.28,2.33,102.01,12.31
